,runtime,Mean,Std,Nent,ChanName,Chan,ChipSN,io_group,io_channel
1,1692728616,17.67,0.87,1219,ch01,1,3H0006,1,5
2,1692728616,17.19,0.9,1209,ch02,2,3H0006,1,5
3,1692728616,14.96,0.97,1212,ch03,3,3H0006,1,5
4,1692728616,20.69,0.86,1218,ch04,4,3H0006,1,5
5,1692728616,17.37,0.85,1222,ch05,5,3H0006,1,5
6,1692728616,18.45,0.9,1214,ch06,6,3H0006,1,5
7,1692728616,17.03,0.89,1214,ch07,7,3H0006,1,5
8,1692728616,16.66,0.84,1222,ch08,8,3H0006,1,5
9,1692728616,15.83,0.91,1224,ch09,9,3H0006,1,5
10,1692728616,16.65,0.86,1215,ch10,10,3H0006,1,5
11,1692728616,17.51,0.83,1209,ch11,11,3H0006,1,5
12,1692728616,15.77,0.9,1210,ch12,12,3H0006,1,5
13,1692728616,16.2,0.86,1219,ch13,13,3H0006,1,5
14,1692728616,17.94,0.8,1214,ch14,14,3H0006,1,5
15,1692728616,17.47,0.81,1214,ch15,15,3H0006,1,5
16,1692728616,18.9,0.85,1206,ch16,16,3H0006,1,5
17,1692728616,15.55,0.91,1206,ch17,17,3H0006,1,5
18,1692728616,19.2,0.8,1212,ch18,18,3H0006,1,5
19,1692728616,19.05,0.84,1217,ch19,19,3H0006,1,5
20,1692728616,18.7,0.87,1208,ch20,20,3H0006,1,5
21,1692728616,19.2,0.83,1212,ch21,21,3H0006,1,5
22,1692728616,20.15,0.82,1209,ch22,22,3H0006,1,5
23,1692728616,19.61,0.87,1624,ch23,23,3H0006,1,5
24,1692728616,16.13,0.92,1262,ch24,24,3H0006,1,5
25,1692728616,14.86,1.02,1220,ch25,25,3H0006,1,5
26,1692728616,17.43,0.83,1217,ch26,26,3H0006,1,5
27,1692728616,16.29,0.9,1211,ch27,27,3H0006,1,5
28,1692728616,15.38,0.91,1210,ch28,28,3H0006,1,5
29,1692728616,18.29,0.85,1207,ch29,29,3H0006,1,5
